Account,Platform,URL,Followers,Engagement Rate,Campaign Engagement Rate,Total Engagements,Media Count,Posts Count,Stories Count,Aggregate Impressions
isabellegrace,instagram,https://instagram.com/isabellegrace/,78064.0,0.5,0.11,88.0,4.0,1.0,3.0,10963.0
dj.brooklyn,instagram,https://instagram.com/dj.brooklyn/,184409.0,0.0,0.02,28.0,1.0,1.0,0.0,41898.0
monicadong,instagram,https://instagram.com/monicadong/,23755.0,0.04,0.04,25.0,3.0,3.0,0.0,22600.0
mumlittleloves,instagram,https://instagram.com/mumlittleloves/,32620.0,0.86,0.89,1454.0,6.0,5.0,1.0,39258.0
ahw___.erica,instagram,https://instagram.com/ahw___.erica/,6069.0,1.31,1.94,1061.0,12.0,9.0,3.0,10610.0
_ashlee_white_,instagram,https://instagram.com/_ashlee_white_/,38323.0,0.1,0.97,4466.0,31.0,12.0,19.0,40056.0
bekhalliday,instagram,https://instagram.com/bekhalliday/,47342.0,0.09,0.04,19.0,1.0,1.0,0.0,0.0
marcialeone_,instagram,https://instagram.com/marcialeone_/,268386.0,0.25,0.24,643.0,1.0,1.0,0.0,56500.0
babyj_x,instagram,https://instagram.com/babyj_x/,31064.0,0.27,0.75,467.0,2.0,2.0,0.0,33072.0
clarestevenson_,instagram,https://instagram.com/clarestevenson_/,6715.0,0.06,0.07,14.0,4.0,3.0,1.0,12220.0
ourhutleyhome,instagram,https://instagram.com/ourhutleyhome/,43031.0,0.18,0.49,846.0,4.0,4.0,0.0,39653.0
ameliacourtney,instagram,https://instagram.com/ameliacourtney/,12707.0,0.17,10.62,1350.0,1.0,1.0,0.0,131766.0
evanabowell,instagram,https://instagram.com/evanabowell/,7594.0,0.19,0.22,33.0,2.0,2.0,0.0,30696.0
_stephanievara,instagram,https://instagram.com/_stephanievara/,35691.0,0.08,0.11,123.0,3.0,3.0,0.0,26889.0
oakbankreno,instagram,https://instagram.com/oakbankreno/,72396.0,0.47,0.44,965.0,4.0,3.0,1.0,36567.0
emhaus_creative,instagram,https://instagram.com/emhaus_creative/,35776.0,0.7,1.11,397.0,1.0,1.0,0.0,8747.0
saraeshu,instagram,https://instagram.com/saraeshu/,6064.0,0.97,0.53,32.0,1.0,1.0,0.0,912.0
czechausout,instagram,https://instagram.com/czechausout/,9823.0,0.37,0.43,213.0,5.0,5.0,0.0,19820.0
hausandvogue,instagram,https://instagram.com/hausandvogue/,11700.0,1.68,1.77,2481.0,15.0,12.0,3.0,10259.0
janeetasteephn,instagram,https://instagram.com/janeetasteephn/,78725.0,0.03,1.07,2533.0,3.0,3.0,0.0,49052.0
kailanitomkins,instagram,https://instagram.com/kailanitomkins/,7714.0,1.37,1.69,523.0,4.0,4.0,0.0,18129.0
rachel.maksimovic,instagram,https://instagram.com/rachel.maksimovic/,14357.0,0.14,2.954390243902439,0.0,1.0,1.0,0.0,2542.0
steph_paccaa,instagram,https://instagram.com/steph_paccaa/,821555.0,0.01,0.0,17.0,1.0,1.0,0.0,120275.0
michelleschimanski__,instagram,https://instagram.com/michelleschimanski__/,21397.0,0.06,0.04,8.0,1.0,1.0,0.0,10475.0
thefrenchfolk,instagram,https://instagram.com/thefrenchfolk/,131544.0,0.02,0.01,15.0,1.0,1.0,0.0,14683.0
catsanz,instagram,https://instagram.com/catsanz/,164053.0,0.36,0.38,1233.0,2.0,2.0,0.0,147380.0
homesnob,instagram,https://instagram.com/homesnob/,40323.0,0.58,1.3,1574.0,3.0,3.0,0.0,23109.0
hamptonsdiaries,instagram,https://instagram.com/hamptonsdiaries/,59990.0,0.42,0.36,644.0,3.0,3.0,0.0,22475.0
k.estudio__,instagram,https://instagram.com/k.estudio__/,36795.0,0.74,0.74,822.0,3.0,3.0,0.0,0.0
yaniraecormick,instagram,https://instagram.com/yaniraecormick/,10072.0,0.12,2.5,252.0,1.0,1.0,0.0,18555.0
chantelle.stanton,instagram,https://instagram.com/chantelle.stanton/,93330.0,2.23,0.8,2980.0,16.0,4.0,12.0,128863.0
miss_gunner,instagram,https://instagram.com/miss_gunner/,257391.0,0.06,0.1,985.0,7.0,4.0,3.0,13906.0
shanee_holmes,instagram,https://instagram.com/shanee_holmes/,6447.0,1.49,1.62,313.0,12.0,3.0,9.0,16018.0
rebecca_jolliffe,instagram,https://instagram.com/rebecca_jolliffe/,16509.0,0.5,0.86,1278.0,35.0,9.0,26.0,111025.0
arleninteriors,instagram,https://instagram.com/arleninteriors/,9317.0,0.64,1.04,97.0,3.0,1.0,2.0,3145.0
our.storybook.home,instagram,https://instagram.com/our.storybook.home/,3251.0,1.14,1.41,276.0,10.0,6.0,4.0,8960.0
coastal_luxury,instagram,https://instagram.com/coastal_luxury/,33279.0,0.26,0.52,1376.0,15.0,8.0,7.0,66722.0
lauralestyle,instagram,https://instagram.com/lauralestyle/,21264.0,0.08,111.18,141851.0,19.0,6.0,13.0,1735162.0
casablanca_creative,instagram,https://instagram.com/casablanca_creative/,25004.0,0.14,0.34,339.0,6.0,4.0,2.0,51038.0
lifeofriverandiluka_,instagram,https://instagram.com/lifeofriverandiluka_/,27226.0,0.3,0.52,284.0,2.0,2.0,0.0,22571.0
bula.home,instagram,https://instagram.com/bula.home/,3516.0,2.25,6.1,429.0,5.0,2.0,3.0,5891.0
_ashlee_white_,instagram,https://instagram.com/_ashlee_white_/,81050.3,1.8403333333333343,2.954390243902439,2227.5666666666666,4.2444444444444445,2.8,1.4444444444444444,64887.34444444445
