Account,Platform,URL,Followers,Engagement Rate,Campaign Engagement Rate,Total Engagements,Media Count,Posts Count,Stories Count,Aggregate Impressions
_stephanievara,instagram,https://instagram.com/_stephanievara/,35691,0.08,0.11,123,3,3,0,26889
oakbankreno,instagram,https://instagram.com/oakbankreno/,72396,0.47,0.44,965,4,3,1,36567
emhaus_creative,instagram,https://instagram.com/emhaus_creative/,35776,0.7,1.11,397,1,1,0,8747
saraeshu,instagram,https://instagram.com/saraeshu/,6064,0.97,0.53,32,1,1,0,912
czechausout,instagram,https://instagram.com/czechausout/,9823,0.37,0.43,213,5,5,0,19820
hausandvogue,instagram,https://instagram.com/hausandvogue/,11700,1.68,1.77,2481,15,12,3,10259
janeetasteephn,instagram,https://instagram.com/janeetasteephn/,78725,0.03,1.07,2533,3,3,0,49052
kailanitomkins,instagram,https://instagram.com/kailanitomkins/,7714,1.37,1.69,523,4,4,0,18129
rachel.maksimovic,instagram,https://instagram.com/rachel.maksimovic/,14357,0.14,,0,1,1,0,2542
steph_paccaa,instagram,https://instagram.com/steph_paccaa/,821555,0.01,0,17,1,1,0,120275
michelleschimanski__,instagram,https://instagram.com/michelleschimanski__/,21397,0.06,0.04,8,1,1,0,10475
thefrenchfolk,instagram,https://instagram.com/thefrenchfolk/,131544,0.02,0.01,15,1,1,0,14683
catsanz,instagram,https://instagram.com/catsanz/,164053,0.36,0.38,1233,2,2,0,147380
homesnob,instagram,https://instagram.com/homesnob/,40323,0.58,1.3,1574,3,3,0,23109
hamptonsdiaries,instagram,https://instagram.com/hamptonsdiaries/,59990,0.42,0.36,644,3,3,0,22475
k.estudio__,instagram,https://instagram.com/k.estudio__/,36795,0.74,0.74,822,3,3,0,0
yaniraecormick,instagram,https://instagram.com/yaniraecormick/,10072,0.12,2.5,252,1,1,0,18555
chantelle.stanton,instagram,https://instagram.com/chantelle.stanton/,93330,2.23,0.8,2980,16,4,12,128863
miss_gunner,instagram,https://instagram.com/miss_gunner/,257391,0.06,0.1,985,7,4,3,13906
shanee_holmes,instagram,https://instagram.com/shanee_holmes/,6447,1.49,1.62,313,12,3,9,16018
rebecca_jolliffe,instagram,https://instagram.com/rebecca_jolliffe/,16509,0.5,0.86,1278,35,9,26,111025
arleninteriors,instagram,https://instagram.com/arleninteriors/,9317,0.64,1.04,97,3,1,2,3145
our.storybook.home,instagram,https://instagram.com/our.storybook.home/,3251,1.14,1.41,276,10,6,4,8960
coastal_luxury,instagram,https://instagram.com/coastal_luxury/,33279,0.26,0.52,1376,15,8,7,66722
lauralestyle,instagram,https://instagram.com/lauralestyle/,21264,0.08,111.18,141851,19,6,13,1735162
casablanca_creative,instagram,https://instagram.com/casablanca_creative/,25004,0.14,0.34,339,6,4,2,51038
lifeofriverandiluka_,instagram,https://instagram.com/lifeofriverandiluka_/,27226,0.3,0.52,284,2,2,0,22571
bula.home,instagram,https://instagram.com/bula.home/,3516,2.25,6.1,429,5,2,3,5891
